TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
CS,199,IBM INTRO TO COMPTR,1,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
CS,225,INTRO TO PROG-FORTR,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
CULA,160,MENU MANAGEMENT,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
DANC,101,DANCE APPRECIATION,3,LOWER DIVISION,,DANC,1713,UNDERSTANDING DANCE,3,Gen Ed-Artistic Forms,
DRAMA,101,THEATRE APPRECIATN,3,Lower Division Course,,DRAM,1713,UNDERSTANDING THEATRE,3,Gen Ed-Artistic Forms,
ECON,201,PRIN OF ECON MACRO,3,Lower Division Course,,ECON,1113,PRINCIPLES OF ECONOMICS-MACRO,3,Gen Ed-Social Science,
ECON,202,PRIN OF ECON MICRO,3,Lower Division Course,,ECON,1123,PRINCIPLES OF ECONOMICS-MICRO,3,Gen Ed-Social Science,
ED,205,ED OF EXCPT CHILD,3,Lower Division Course,,EDUC,1999,LOWER DIVISION TRANSFER CREDIT,3,,
EDUC,110,PEER TUTOR TRAINING,1,LOWER DIVISION,,EDUC,1999,LOWER DIVISION TRANSFER CREDIT,1,,
EDUC,199A,COACHES CLINIC,1,LOWER DIVISION,,EDUC,1999,LOWER DIVISION TRANSFER CREDIT,1,,
EDUC,201,FOUND OF EDUCATION,3,Lower Division Course,,EDUC,1999,LOWER DIVISION TRANSFER CREDIT,3,,
EDUC,203,APP EDUCATION,1,LOWER DIVISION,,EDUC,1999,LOWER DIVISION TRANSFER CREDIT,1,,
EDUC,205,DEV IND DIFFERNECE,3,Lower Division Course,,EDUC,1999,LOWER DIVISION TRANSFER CREDIT,3,,
EDUC,215,EDUC TECHNOLOGY,3,Lower Division Course,,EDUC,1999,LOWER DIVISION TRANSFER CREDIT,3,,
ENGI,105,CAD ENGINEERING GRAPHICS,2,LOWER DIVISION,,ENGR,1999,LOWER DIVISION TRANSFER CREDIT,2,,
ENGI,120,INTRO TO ENGINEERING,2,LOWER DIVISION,,ENGR,1112,INTRODUCTION TO ENGINEERING,2,,
ENGL,011,BASIC ENGL & WRITE,4,Lower Division Course,,ENGL,0999,REMEDIAL ENGLISH,4,,
ENGL,015,BASIC ENGLISH & WRITING,4,LOWER DIVISION,,ENGL,0113,INTRO TO COLLEGE WRITING,3,,
ENGL,015,BASIC ENGLISH & WRITING,4,LOWER DIVISION,AND,ENGL,0999,REMEDIAL ENGLISH,1,,
